Area (sqft),Living Area (sqft),Bedrooms,Bathrooms,Garage,Age of House (years),Location Score,Price (INR),Number of Floors
3317,2431,1,1,0,10,1,15276500,4
2932,2280,4,1,0,0,9,15044000,1
1028,654,4,1,0,7,10,6386000,4
2100,1358,5,1,1,3,7,11590000,1
885,740,2,2,0,28,3,4572500,1
2665,1817,3,1,0,24,6,12912500,1
1368,1101,2,1,0,26,10,6936000,4
3237,2036,1,3,1,26,4,15296500,1
1994,1688,4,2,0,21,9,10603000,3
793,710,1,3,1,14,2,4438500,4
3149,2242,5,2,0,16,4,15950500,3
1587,1192,4,2,1,17,1,8601500,1
1736,1272,3,2,0,2,7,9422000,2
2761,2397,4,1,1,17,4,13834500,1
2301,1387,2,3,0,25,5,11304500,3
1546,1230,2,2,1,6,1,8037000,3
1430,1137,4,2,1,27,2,7745000,4
2520,1801,5,2,0,16,4,13120000,2
654,435,2,3,0,24,2,3763000,4
1399,939,2,2,1,17,1,7155500,3
1377,1156,3,3,1,19,10,7966500,1
2081,1289,4,3,0,7,1,11074500,2
2501,1923,2,1,1,10,6,12304500,1
2809,1943,5,2,0,2,2,14600500,1
2734,1857,1,2,0,24,3,12673000,2
654,491,4,3,1,6,5,5023000,4
2423,2106,3,3,0,14,3,12273500,1
1801,1414,2,1,1,9,6,9174500,3
1432,1197,5,2,0,11,7,8474000,1
912,711,4,3,0,11,10,6184000,2
3406,2756,5,2,0,18,6,17167000,2
2458,1793,5,2,0,18,2,12701000,2
2607,2288,3,2,0,14,9,13201500,4
2606,1956,4,3,0,20,2,13227000,1
3090,2365,2,2,0,20,6,14805000,4
2390,1810,3,3,0,25,9,12205000,4
927,644,2,1,0,4,9,5341500,2
3408,2281,1,1,0,27,2,15396000,2
3226,2007,5,3,0,12,9,16827000,4
1887,1538,1,2,0,24,8,9111500,1
2743,1883,5,1,1,8,7,14383500,3
1711,1226,3,1,1,21,8,8929500,4
1911,1673,2,3,0,26,10,9779500,1
3461,2664,2,3,0,26,8,16654500,2
3138,1974,3,3,1,22,1,15381000,2
1051,882,4,3,0,9,9,6799500,1
2123,1436,1,3,0,7,6,10613500,3
764,585,1,3,0,8,1,4228000,2
781,588,2,3,1,5,1,4814500,2
3116,2092,2,2,0,23,7,14912000,2
1509,957,2,2,1,17,10,8100500,1
3382,2243,3,2,1,9,2,16589000,4
1422,894,4,2,0,23,6,7839000,2
1543,1053,1,1,1,14,5,7563500,4
2601,2338,5,2,1,12,5,13764500,3
2654,1912,3,1,1,10,10,13493000,2
929,798,1,1,0,1,6,4960500,2
1374,1050,4,1,0,7,8,7843000,3
2798,2238,3,3,1,17,5,14151000,2
746,482,1,1,0,2,8,4217000,4
1514,1033,3,1,1,22,5,7873000,1
2171,1635,1,1,0,26,10,10249500,4
1908,1649,1,3,0,24,6,9306000,1
3347,2051,4,2,1,2,8,17171500,1
681,512,5,2,0,20,2,4664500,4
1113,684,4,1,1,24,7,6428500,4
2520,1857,1,1,0,6,3,11870000,4
3462,2730,3,2,1,29,9,16899000,4
3356,2763,4,2,0,17,10,16862000,3
2539,1628,5,2,1,20,7,13425500,2
1345,874,1,2,0,20,3,6502500,1
2009,1488,4,1,0,8,8,10680500,4
1306,1174,4,1,1,17,10,7587000,4
1070,756,4,1,0,0,2,6315000,4
995,724,4,2,1,3,10,6667500,3
2155,1572,3,3,0,3,8,11537500,4
2908,1815,5,2,1,16,7,15166000,4
1404,1168,5,2,1,25,5,8118000,4
1533,1036,1,3,1,22,4,7708500,2
1879,1524,2,3,1,1,10,10285500,3
2357,1750,3,2,1,26,10,12036500,4
1504,1178,1,3,1,14,1,7588000,1
1676,1032,1,3,1,12,4,8552000,1
2490,2158,4,3,1,8,6,13295000,1
2123,1429,2,2,0,6,6,10733500,3
1987,1591,2,2,0,28,2,9481500,3
1903,1597,3,3,0,28,9,9953500,1
1192,908,2,1,0,11,1,5994000,4
3361,2356,1,3,1,11,4,16154500,3
3279,2929,2,3,1,13,4,16045500,1
2706,1849,2,2,0,22,2,12837000,1
727,643,5,1,0,14,8,5091500,4
1335,863,1,3,1,0,2,7157500,2
3368,2414,2,1,0,29,2,15476000,3
3173,2035,2,2,1,8,2,15368500,4
1120,672,4,1,0,25,1,5990000,1
3199,2169,2,2,1,15,5,15495500,1
836,523,2,3,1,8,4,5152000,4
1904,1705,5,2,0,15,2,10268000,3
2381,1972,1,1,0,1,1,11244500,2
1901,1142,3,1,1,9,1,9674500,2
3141,2095,1,1,0,24,2,14254500,1
2651,2123,4,3,0,17,1,13439500,3
3313,2383,1,1,1,12,9,15768500,2
1041,884,2,1,0,1,2,5564500,3
2676,2010,4,1,0,28,3,13032000,3
3257,2592,1,2,1,28,9,15396500,1
1404,1093,4,1,1,12,5,7878000,2
674,533,3,2,1,23,8,4423000,4
3485,2331,1,1,0,2,7,16492500,1
2775,1975,2,2,1,29,6,13357500,2
2689,1654,4,2,0,14,2,13520500,2
1979,1536,5,3,0,2,4,11165500,2
640,472,4,3,0,22,9,4690000,2
2681,2220,5,2,0,9,7,14134500,2
2300,1522,2,2,1,5,3,11550000,3
2001,1462,3,3,0,22,6,10364500,1
1187,776,5,2,0,21,8,7221500,3
2222,1742,3,3,0,13,8,11639000,4
941,803,4,3,1,8,8,6424500,2
2674,2218,2,1,1,17,8,13043000,1
1245,1099,5,1,1,7,10,7812500,2
1330,1185,4,3,0,26,6,7565000,1
767,637,1,3,0,5,10,4751500,3
1209,829,4,2,1,14,3,7060500,1
2915,1940,3,3,1,13,9,14957500,4
2372,1741,2,3,0,14,3,11744000,4
2640,2371,2,1,1,19,4,12650000,1
3468,2510,4,3,0,5,10,17806000,1
1054,695,1,2,1,21,1,5223000,1
2308,2038,3,3,0,11,2,11766000,1
1301,931,4,1,0,9,6,7374500,4
3281,2648,4,1,0,18,1,15854500,2
2199,1839,2,1,1,7,9,11155500,1
729,621,3,1,1,4,8,4850500,1
2445,2069,1,3,0,26,2,11482500,4
1986,1689,2,2,1,9,2,10007000,4
3466,2773,4,2,0,10,8,17397000,3
1292,931,2,2,1,19,8,6984000,1
1994,1595,2,3,1,13,1,10113000,3
1393,1185,5,3,0,13,5,8358500,4
628,442,2,3,1,28,2,3716000,4
748,515,2,2,1,1,1,4546000,2
1919,1349,3,3,0,29,3,9705500,1
2658,2034,2,3,0,25,3,12811000,3
3323,2046,1,1,0,16,10,15633500,4
1736,1447,4,1,0,14,9,9382000,4
786,504,3,2,1,28,10,4927000,3
3454,2210,2,1,1,22,1,16103000,2
3391,2235,1,1,0,25,2,15359500,4
1850,1430,4,1,1,26,9,9805000,1
1933,1325,3,3,0,2,5,10408500,4
697,495,1,1,0,2,9,4046500,1
654,575,2,1,0,2,6,4003000,3
3270,2793,5,1,1,25,10,16565000,1
3311,2833,5,3,1,27,10,17109500,3
1357,1049,3,2,1,28,3,7146500,1
1005,864,1,3,0,2,8,5782500,3
2716,2263,4,3,0,17,9,14132000,1
1912,1693,1,1,1,5,2,9254000,2
2385,1477,5,2,1,13,9,12972500,1
1350,821,3,1,1,25,4,7025000,1
2362,1541,2,1,1,2,8,11939000,2
964,847,1,2,0,0,5,5288000,4
2626,2052,5,2,1,9,6,13987000,4
1081,786,4,3,1,12,4,6774500,1
2848,2146,3,2,0,28,5,13806000,2
753,639,2,3,1,8,1,4628500,1
2124,1866,1,3,1,21,3,10338000,3
2720,2227,4,1,1,21,4,13570000,3
3360,2781,2,1,0,25,1,15470000,1
2943,2048,5,1,0,24,3,14613500,4
1640,1213,5,2,1,1,4,9610000,4
2264,1959,4,2,0,9,9,12058000,1
1840,1537,5,3,1,24,3,10200000,1
660,531,3,3,1,29,3,4190000,3
1538,952,4,3,0,11,4,8701000,4
2239,1369,5,2,1,18,9,12215500,1
2689,1718,1,3,0,2,9,13410500,3
624,483,5,3,0,18,1,4598000,4
1662,1264,3,2,0,0,8,9179000,2
730,644,2,1,1,25,10,4235000,3
1852,1497,2,2,1,14,1,9254000,4
707,486,5,3,1,22,2,5091500,4
771,499,2,1,1,25,10,4419500,3
2058,1759,5,2,0,12,5,11171000,2
701,517,3,1,1,6,6,4584500,3
3171,2524,2,1,1,1,2,15299500,4
2922,2248,1,3,0,21,10,14129000,1
2236,1413,5,2,0,19,5,11832000,1
3464,2137,2,3,1,10,3,16888000,3
1640,1169,3,2,0,22,7,8590000,4
929,658,3,2,1,15,1,5380500,1
2120,1700,1,2,1,13,5,10380000,4
611,482,3,1,0,29,3,3419500,3
1941,1728,3,1,0,22,2,9494500,1
815,698,2,3,1,14,3,4887500,4
938,702,5,2,1,19,10,6391000,1
2399,1799,4,2,1,18,4,12385500,3
3308,2653,3,1,1,6,2,16116000,4
2350,1490,3,2,1,8,2,11965000,1
2108,1897,4,3,0,3,3,11376000,3
3021,2282,3,2,1,5,2,15044500,1
1309,1142,2,2,0,22,6,6750500,1
1823,1622,2,1,0,9,2,8923500,2
3113,2410,4,2,0,2,1,15618500,2
1712,1080,3,3,1,20,8,9354000,3
1891,1459,3,3,1,27,10,10119500,2
1088,847,5,3,0,29,4,6616000,3
2161,1808,3,3,0,0,2,11324500,2
646,396,2,1,0,5,4,3807000,1
1377,1018,1,2,0,4,2,6916500,3
1639,1437,1,1,0,22,5,7685500,3
1310,1175,1,3,1,14,7,7015000,1
1000,657,1,2,0,24,6,5020000,3
2417,2081,3,1,1,10,2,12026500,3
849,546,3,2,0,19,4,4940500,2
990,843,5,3,0,24,8,6475000,3
934,638,3,3,1,12,7,5963000,4
1228,1090,1,2,1,5,7,6626000,1
736,595,4,2,0,4,4,5032000,2
3335,2400,4,3,1,1,1,16987500,2
2121,1451,2,1,1,16,7,10524500,4
1426,956,2,3,0,23,6,7457000,1
1326,1066,3,2,0,11,8,7447000,1
2100,1824,4,1,0,11,5,10880000,2
3241,2678,1,3,1,21,8,15614500,3
1589,1351,1,2,0,13,10,8090500,2
3019,2519,1,2,0,6,8,14565500,1
1534,1371,3,2,1,21,9,8383000,4
1001,828,3,1,0,25,1,5154500,2
2066,1369,5,1,1,28,3,10737000,1
1214,1016,1,1,1,13,6,6153000,2
1896,1320,1,1,0,6,4,9112000,3
1782,1601,3,2,1,8,8,9709000,2
3267,2329,3,2,1,13,10,16391500,2
2835,1950,5,1,0,20,1,14107500,1
1721,1156,5,1,1,16,5,9524500,1
730,582,2,2,0,16,4,4165000,1
3452,2184,4,3,0,24,1,16904000,2
1794,1589,1,3,0,20,10,9073000,3
782,538,1,2,0,29,6,3939000,4
963,663,5,1,0,12,10,6293500,4
638,391,5,1,1,28,3,4311000,1
3144,2118,2,2,1,26,5,15028000,1
1972,1431,4,3,1,28,6,10564000,2
1520,1080,2,2,0,17,4,7700000,4
3369,2297,4,2,0,18,10,16900500,1
615,376,1,2,0,16,10,3647500,3
1092,753,2,1,0,5,6,5914000,3
2049,1707,5,1,1,11,7,11200500,1
1731,1266,2,1,1,5,2,8739500,1
910,625,2,3,0,2,7,5605000,4
1338,925,1,2,0,14,7,6791000,4
1145,877,5,2,0,2,2,7112500,2
3061,2114,5,3,1,22,3,15734500,4
850,670,3,1,1,14,3,4945000,3
1358,1217,3,2,0,0,1,7461000,3
2404,1472,3,3,0,20,1,11968000,1
1897,1234,1,1,1,28,10,9126500,4
2231,1458,2,1,1,2,6,11249500,2
2514,1845,5,2,0,4,9,13583000,3
1413,865,5,1,0,26,9,7988500,3
628,466,2,3,0,13,1,3816000,2
1557,1368,5,1,1,3,7,9146500,2
2632,1588,2,2,0,21,6,12724000,3
1076,763,1,3,1,27,4,5552000,3
917,759,1,1,0,8,3,4616500,2
844,545,1,1,0,17,9,4408000,3
1347,839,2,1,0,9,10,7181500,1
1296,1022,2,3,1,7,5,7292000,1
871,525,4,1,0,29,8,5139500,2
2371,1992,5,2,1,12,4,12679500,4
1862,1154,5,3,0,1,4,10659000,2
3024,2290,4,3,1,19,6,15478000,2
865,711,4,1,0,24,6,5112500,4
1520,1022,1,3,1,19,3,7660000,4
939,592,4,2,0,6,2,5805500,4
988,644,2,3,1,10,9,6046000,1
3224,2761,3,2,1,4,2,15978000,3
2650,2151,2,1,0,28,9,12615000,1
1765,1163,4,3,1,17,8,9952500,3
975,794,5,2,1,7,10,6797500,1
2633,2139,2,1,0,26,7,12478500,3
2971,2671,5,2,1,25,5,15169500,1
745,534,2,3,0,9,3,4522500,4
2581,2218,5,3,0,1,2,13794500,2
892,654,2,2,1,2,8,5524000,1
1031,896,5,1,1,25,2,6089500,3
1304,818,3,1,1,22,8,7078000,4
2598,1695,1,1,1,4,5,12511000,1
3232,2763,2,1,1,15,9,15644000,1
998,844,3,2,0,9,4,5811000,4
3464,2395,1,3,0,10,8,16688000,1
1563,1217,2,2,1,18,7,8173500,2
2834,2025,3,3,1,15,8,14503000,1
2641,1592,3,3,1,11,5,13564500,2
2428,1475,3,2,1,1,2,12456000,2
2708,1668,4,2,1,10,7,14086000,4
1538,1196,5,1,0,21,3,8351000,1
1309,895,1,3,0,25,10,6790500,4
1406,904,5,1,0,0,10,8527000,1
2063,1820,5,1,1,23,10,11173500,1
1925,1225,5,2,1,4,10,11132500,3
610,489,3,1,1,20,2,3695000,1
1685,1462,5,1,0,13,3,9172500,4
2468,1602,4,1,0,17,4,12366000,2
2873,1908,2,2,0,6,10,14308500,1
3211,2479,3,1,0,4,7,15819500,3
1371,1031,1,1,1,7,10,7179500,4
2194,1659,2,2,1,20,1,10673000,1
2207,1691,2,2,1,14,6,11101500,4
1933,1710,2,2,1,24,6,9668500,3
1484,914,5,3,1,4,8,9248000,3
1989,1647,5,2,1,12,2,10860500,4
825,552,3,3,0,18,2,4952500,1
1424,1014,5,2,1,28,1,7948000,2
2865,1795,5,2,1,1,3,15072500,3
1536,1126,5,2,1,4,7,9232000,1
3400,2860,3,3,1,25,8,16850000,1
3153,1985,3,1,1,28,7,15228500,2
2906,1983,4,2,1,25,9,14777000,3
2511,1787,4,3,1,4,8,13569500,3
2396,1512,4,2,1,5,8,12832000,1
653,541,4,1,0,15,2,4138500,1
1326,1108,2,3,0,1,1,7197000,2
3336,2838,2,2,0,4,6,16232000,2
2144,1661,4,2,1,14,7,11468000,3
1643,1235,4,2,0,0,6,9293500,4
2513,1705,1,1,1,18,7,11948500,3
2376,1892,2,3,0,2,8,12252000,1
2196,1610,1,2,0,18,2,10322000,3
2514,2240,1,2,1,14,1,11933000,4
3066,2730,5,3,1,2,10,16507000,2
3337,2908,3,1,1,7,8,16526500,4
1449,1025,2,1,1,14,8,7590500,4
2709,1924,4,1,0,0,8,13990500,4
2863,2450,4,1,0,5,10,14683500,2
602,492,3,1,1,21,7,3889000,4
759,615,2,2,0,16,2,4195500,4
1380,943,4,2,0,15,4,7710000,4
1492,1268,4,2,0,12,9,8524000,1
2630,2035,5,3,1,0,8,14485000,4
2976,2184,1,1,1,2,4,14202000,2
1179,1013,4,3,1,23,8,7195500,4
2533,1819,2,1,0,5,10,12598500,4
1980,1576,3,1,1,19,6,10080000,2
1890,1398,5,3,1,20,9,10805000,4
2240,1742,2,2,0,25,1,10630000,2
1551,949,5,3,1,29,6,8949500,4
3282,2423,1,2,1,2,4,15779000,2
1587,1217,4,1,1,14,3,8561500,4
1818,1359,2,2,0,29,5,8851000,4
1520,1298,3,1,1,14,10,8310000,1
3385,2346,1,1,0,10,8,15932500,1
1955,1691,1,2,0,26,10,9477500,4
769,554,5,1,0,21,6,5040500,4
1120,905,1,2,0,5,1,5690000,3
2086,1305,2,3,0,5,6,10787000,2
639,421,5,1,0,8,7,4765500,3
2160,1789,1,1,1,13,6,10410000,1
2018,1218,3,3,1,25,3,10381000,1
1554,1383,2,1,0,28,9,7683000,1
1583,1040,3,3,0,10,10,8923500,1
1574,1369,3,3,1,23,10,8773000,4
637,480,5,1,1,5,4,4816500,1
2975,2288,4,3,1,17,5,15247500,4
1874,1171,5,3,0,19,5,10403000,4
1799,1276,2,3,0,14,3,9165500,1
2225,1439,2,1,1,21,2,10642500,1
1513,1146,5,3,0,8,8,9148500,2
1053,805,4,2,0,10,7,6488500,3
636,517,5,2,0,1,5,4992000,1
2311,1995,2,3,0,5,1,11549500,2
1395,1032,4,2,1,25,10,8027500,2
1572,1053,2,1,0,26,1,7404000,3
1192,834,4,3,0,25,8,7064000,4
1737,1483,4,1,0,25,4,8916500,1
1924,1238,5,2,0,22,4,10318000,3
2871,2262,5,2,1,13,9,15159500,1
917,553,5,2,0,13,2,5866500,2
2996,2018,4,2,0,23,5,14872000,2
2762,2147,4,1,1,12,6,14039000,4
3345,2465,2,3,0,24,6,16072500,2
1946,1455,3,1,0,4,10,10277000,2
2191,1748,5,3,0,8,3,11949500,3
2489,1668,2,2,0,24,10,12220500,1
2687,1838,2,2,1,28,6,12981500,1
2596,2090,1,2,1,10,10,12832000,3
2372,1806,5,2,1,6,10,13104000,4
1912,1155,2,1,0,1,5,9634000,1
1885,1510,1,3,0,23,8,9322500,2
815,640,5,3,1,11,4,5897500,1
2983,1860,4,2,1,4,10,15593500,2
2739,2257,1,1,0,28,10,12765500,4
3000,2269,4,2,0,26,3,14730000,3
3218,2128,3,3,0,23,6,15821000,1
3463,2658,3,3,0,1,10,17563500,3
2304,1793,3,1,0,13,9,11658000,1
3428,3003,3,3,0,6,8,17206000,2
962,791,2,1,0,4,10,5549000,3
3204,2212,3,2,0,3,8,16058000,1
2316,1471,2,2,0,9,3,11392000,2
1793,1534,2,1,0,28,1,8358500,3
955,815,5,2,1,15,3,6197500,3
790,515,2,1,0,5,3,4405000,1
3069,1898,2,2,0,20,6,14710500,1
1299,1056,3,2,0,5,3,7195500,1
2654,2167,2,3,1,8,2,13233000,2
2780,1815,4,3,0,0,9,14760000,1
1156,925,3,1,1,28,6,6192000,3
1425,974,1,2,0,15,5,7062500,3
3408,2311,3,2,1,26,3,16416000,1
1654,1153,2,2,1,16,7,8623000,1
3182,2405,4,3,0,12,7,16229000,4
1025,862,3,1,1,5,4,5962500,3
3319,2487,4,1,1,1,10,16965500,2
3010,2075,1,1,0,7,2,14005000,4
2174,1880,1,2,0,22,2,10143000,1
2729,1682,5,1,0,21,8,13960500,1
3003,2519,5,3,0,3,4,15753500,3
1188,992,3,3,0,8,7,7036000,1
2612,1765,5,1,0,22,3,13164000,2
2147,1415,4,2,1,6,9,11741500,3
894,770,5,3,1,20,10,6373000,1
2585,1984,4,3,0,0,9,13882500,3
1847,1133,5,2,0,13,7,10301500,1
2148,1862,5,2,0,29,7,11336000,1
2290,1613,5,1,0,1,1,12035000,1
1736,1219,2,3,1,7,10,9522000,2
1856,1471,2,3,1,10,8,9902000,2
2664,2126,5,1,0,4,2,13708000,3
959,677,4,1,1,17,8,5925500,1
1299,835,3,3,1,11,2,7375500,1
1047,801,1,3,0,20,1,5261500,2
3012,2372,2,2,0,23,8,14494000,1
1274,1093,5,2,1,19,4,7603000,2
1607,1197,1,3,0,18,10,8271500,1
1949,1546,2,3,0,4,6,10190500,3
3114,1919,3,2,0,28,10,15253000,1
3061,2658,4,1,1,6,10,15704500,1
1185,827,5,1,1,1,1,7212500,4
1856,1465,3,3,1,16,9,10132000,2
1847,1615,2,3,1,12,7,9771500,1
1593,1343,5,2,0,10,5,9118500,1
2035,1610,1,3,0,4,6,10277500,4
1171,949,4,1,1,12,3,6729500,4
2982,2613,2,2,1,28,9,14459000,2
1845,1556,4,2,0,22,2,9562500,4
2684,2101,5,1,1,12,10,14188000,3
1588,1266,3,1,1,7,1,8306000,4
877,564,4,2,1,10,1,5546500,3
1819,1347,1,3,1,7,10,9595500,2
2487,1716,2,1,1,9,2,12061500,2
1083,790,1,2,1,24,6,5543500,2
1865,1489,4,3,1,26,6,10122500,2
1330,857,3,3,0,10,9,7735000,2
2839,1718,3,2,0,27,10,14035500,3
1640,1179,1,1,0,0,4,8080000,3
3171,2209,5,3,1,6,8,16799500,2
1517,1101,5,1,0,25,4,8226500,4
3048,2680,3,2,0,7,3,15026000,1
1485,1206,1,1,0,5,4,7282500,2
3352,2340,1,3,0,25,1,15534000,4
621,405,1,2,1,13,9,3834500,1
1073,842,4,3,0,27,5,6338500,2
2857,2277,5,3,0,19,7,14926500,2
2953,2200,5,2,0,6,3,15218500,3
1303,864,4,2,0,2,5,7673500,1
1286,782,2,1,1,1,10,7217000,1
884,600,4,2,1,21,4,5508000,4
1315,969,1,1,0,17,7,6427500,3
1362,1139,4,2,0,21,5,7559000,3
1850,1583,1,3,0,25,2,8825000,3
1547,1119,3,1,0,2,3,8171500,3
3028,2539,1,2,1,13,8,14616000,1
3107,2790,5,1,1,17,3,15641500,1
1630,1328,4,1,0,12,7,8845000,2
628,514,1,1,1,7,5,3586000,2
1506,1314,2,3,1,3,7,8417000,3
2726,1912,3,2,0,14,10,13787000,3
3106,1874,2,2,0,11,9,15207000,3
1169,1047,2,1,1,13,7,6300500,2
2606,1947,2,2,1,19,6,12797000,4
2053,1715,3,3,1,6,1,10818500,4
1337,1128,3,1,0,23,4,6856500,2
1115,801,3,3,0,11,8,6697500,2
2600,1982,3,3,0,28,1,12690000,2
3044,2319,2,2,0,8,6,14838000,2
638,424,5,2,1,9,2,4841000,2
1486,944,5,1,0,7,9,8697000,2
3444,2628,3,3,1,29,8,16968000,3
2804,1783,4,2,1,19,9,14438000,3
1698,1195,1,1,1,1,9,8721000,3
2423,1589,4,1,1,25,2,12053500,3
2310,1875,4,2,0,15,2,11795000,2
1573,1355,4,3,1,20,9,9078500,4
2162,1672,5,1,1,22,2,11239000,1
3496,2527,1,2,0,17,4,16292000,2
3395,3052,4,1,1,19,2,16547500,1
1588,962,3,2,0,21,1,8076000,4
620,428,5,1,0,23,10,4530000,3
2950,2016,3,3,0,9,7,14945000,4
1468,1037,3,1,0,28,5,7396000,2
683,457,4,2,1,5,3,4873500,3
2282,1550,3,2,0,5,8,11869000,2
2576,1744,1,2,1,21,5,12272000,3
2010,1510,3,3,1,19,1,10365000,1
2130,1527,4,2,0,12,9,11395000,1
1169,925,3,2,1,18,5,6600500,1
1533,1156,5,3,1,16,3,8978500,4
2580,1689,5,2,1,1,6,13940000,2
2455,2069,5,2,0,17,8,13007500,4
1392,1032,2,3,1,25,2,7214000,1
1391,898,5,1,0,6,3,7989500,2
2409,1566,5,2,0,26,7,12570500,1
1894,1589,2,1,0,13,2,9163000,4
3139,2545,5,3,1,21,5,16205500,4
2855,2146,4,2,1,14,9,14767500,4
2207,1526,5,2,1,7,7,12191500,1
1683,1242,5,3,0,8,3,9663500,2
3077,2433,2,2,1,20,2,14696500,2
1584,1368,4,1,0,10,10,8828000,1
2280,1748,3,1,0,2,9,11770000,2
1119,764,1,3,1,19,9,6155500,1
1190,729,4,2,1,13,9,7295000,2
1650,1076,3,2,0,26,10,8705000,3
2309,1835,4,3,0,7,3,12200500,3
2635,1707,3,1,1,2,1,13117500,4
2846,2118,3,1,1,17,9,14167000,3
3034,2456,4,3,1,22,7,15513000,3
948,656,2,2,0,13,2,5106000,3
1559,1248,4,1,1,19,6,8485500,1
2563,1984,4,2,1,28,9,13173500,3
1292,945,3,1,0,7,8,7174000,3
2159,1876,1,2,0,16,6,10395500,4
977,789,3,1,1,7,6,5806500,3
1126,797,5,2,1,4,8,7437000,3
3381,2844,4,3,1,11,9,17394500,2
2853,2343,4,1,0,1,8,14618500,4
3102,2597,2,3,1,16,1,15039000,4
1859,1472,3,1,0,12,2,9325500,4
2475,1766,2,1,1,21,6,11967500,4
2363,1664,4,1,0,13,8,12173500,4
1120,891,3,2,1,8,4,6530000,4
2301,1470,3,1,1,8,4,11644500,1
1616,1367,5,3,1,8,2,9462000,3
3373,2398,5,2,0,26,10,17058500,4
1613,1272,1,2,0,19,1,7628500,3
3148,2360,5,1,0,5,10,16266000,3
716,541,3,2,0,29,9,4392000,1
3033,2491,5,1,1,11,7,15628500,4
1967,1549,1,3,0,9,9,10021500,2
1183,798,4,2,0,21,2,6603500,1
994,618,5,2,1,4,10,6943000,2
1687,1437,3,3,0,17,5,9001500,3
3368,2914,4,3,1,6,2,17086000,3
671,435,3,1,0,12,10,4379500,1
873,604,4,2,0,0,7,5878500,1
2613,1789,3,3,1,5,9,13758500,2
1943,1712,5,2,1,20,3,10543500,4
937,619,5,3,1,20,1,6116500,2
1989,1292,1,2,1,7,4,9860500,1
1206,789,4,3,0,8,4,7267000,2
765,626,1,2,0,6,6,4322500,1
2167,1877,2,1,1,9,5,10771500,2
2658,1908,5,2,1,28,5,13701000,1
1924,1232,4,1,0,7,9,10368000,1
1328,1030,1,1,1,29,1,6096000,1
3448,2285,1,1,0,1,8,16396000,4
2643,1636,2,2,1,17,8,13103500,2
701,606,1,2,1,27,8,3864500,2
2015,1735,3,1,1,14,3,10187500,2
1378,1230,5,3,1,23,10,8491000,1
813,603,1,2,0,5,8,4658500,2
1711,1177,1,2,1,23,2,8189500,2
2176,1808,2,2,0,13,8,10932000,1
3048,1993,3,2,1,24,8,15086000,3
3235,2177,1,1,1,24,3,14877500,1
2295,1553,5,3,0,26,4,12107500,2
1191,1054,5,3,1,21,9,7639500,1
1933,1583,1,3,0,23,9,9588500,3
1709,1093,3,3,1,17,10,9500500,1
2739,1719,5,1,0,23,9,14015500,2
3320,2831,5,2,1,2,10,17450000,3
1313,1103,3,2,1,29,6,7078500,4
1535,1229,3,1,1,0,1,8207500,2
2551,1680,1,2,1,22,8,12289500,3
841,625,4,1,1,0,9,5784500,3
2643,2063,2,3,0,13,8,13233500,4
601,528,4,1,0,26,1,3634500,1
2872,1869,4,2,0,0,6,14824000,1
3448,2601,5,2,1,0,9,18016000,2
2368,1532,3,2,1,3,9,12496000,4
2549,1868,5,3,1,28,7,13510500,1
3236,2135,2,1,0,29,7,15132000,4
2763,2350,1,1,0,11,4,12913500,1
1517,1026,2,2,0,14,7,7896500,3
2841,2060,5,1,1,28,10,14574500,1
689,497,5,2,1,29,5,4820500,4
2309,1985,5,1,0,27,10,12050500,3
2769,2290,5,3,0,3,5,14750500,3
742,458,4,3,0,29,1,4609000,3
705,437,1,1,0,9,2,3592500,4
1486,1137,4,3,1,10,9,8887000,2
1027,747,5,3,0,5,2,6721500,2
1928,1316,3,3,1,27,10,10286000,2
2495,2090,4,2,1,9,2,12897500,4
2594,1656,5,1,1,11,9,13753000,3
916,817,5,1,1,2,3,6082000,2
2586,1570,1,2,1,14,2,12307000,4
1234,784,2,2,1,15,7,6753000,2
2525,1750,4,3,0,9,9,13432500,1
2656,1999,4,1,0,21,6,13232000,2
3421,2274,4,2,0,28,7,16784500,2
2870,2355,5,3,0,22,3,14725000,3
2039,1442,1,1,1,10,3,9775500,4
1152,704,5,3,0,15,8,7384000,3
1315,1135,5,1,1,16,7,7797500,3
1887,1666,3,3,0,13,5,9981500,3
2313,1817,1,1,0,15,6,10908500,3
2483,2090,4,1,1,13,9,12913500,3
1707,1086,2,1,1,5,3,8681500,2
1941,1321,4,1,0,9,3,10104500,3
710,495,5,3,0,16,6,5275000,3
850,754,1,2,1,22,8,4635000,4
3030,2283,1,1,1,9,5,14355000,1
2654,1598,1,1,1,20,1,12243000,2
1058,755,3,1,1,9,3,5981000,2
1707,1028,4,1,1,13,8,9371500,2
807,541,3,3,1,19,4,5101500,3
1499,1103,2,2,1,16,9,8025500,3
621,432,5,2,1,8,6,4984500,3
1009,615,3,2,1,14,10,6210500,4
1494,948,3,3,1,6,4,8453000,1
1114,852,5,2,0,1,4,7093000,3
1408,1138,1,3,1,3,10,7826000,1
1473,1062,5,3,1,19,5,8748500,4
613,502,4,1,0,23,7,4048500,2
1570,1018,5,3,1,17,7,9325000,3
2734,1740,1,2,0,10,10,13303000,1
2160,1839,5,2,1,4,7,12040000,1
1924,1350,3,2,0,25,5,9708000,3
1866,1361,2,1,1,7,9,9657000,2
2769,2448,3,1,0,21,2,13240500,2
1349,981,2,1,0,19,8,6890500,2
